Elira Pendora,#95C8D8,149,200,216,
Pomu Rainpuff,#258E70,37,142,112,
Finana Ryugu,#35D9AD,53,217,173,
Rosemi Lovelock,#DC3753,220,55,83,
Petra Gurin,#FFAE42,255,174,66,
Enna Alouette,#858ED1,133,142,209,
Nina Kosaka,#660000,102,0,0,
Reimu Endou,#B90B4A,185,11,74,
Millie Parfait,#FEBC87,254,188,135,
Ike Eveland,#348EC7,52,142,199,
Mysta Rias,#C3552B,195,85,43,
Vox Akuma,#960018,150,0,24,
Luca Kaneshiro,#D4AF37,212,175,55,
Shu Yamino,#A660A7,166,96,167,
Alban Knox,#FF5F00,255,95,0,
Yugo Asuma,#1F51FF,31,81,255,
Fulgur Ovid,#FF0000,255,0,0,
Sonny Brisko,#FFF321,255,243,33,
Uki Violeta,#B600FF,182,0,255,
Kyo Kaneko,#00AFCC,0,175,204,
Maria Marionette,#E55A9B,229,90,155,
Aster Arcadia,#6662A4,102,98,164,
Aia Amare,#FFFEF7,255,254,247,
Ren Zotto,#429B76,66,155,118,
Scarle Yonaguni,#E60012,230,0,18,
Doppio Dropscythe,#A50082,165,0,130,
Hex Haywire,#007199,0,113,153,
Meloco Kyoran,#A09BD8,160,155,216,
Ver Vermillion,#D5345E,213,52,94,
Kotoka Torahime,#DC6B9A,220,107,154,
Yu Q. Wilson,#F5EB28,245,235,40,
Vantacrow Bringer,#8728E1,135,40,225,
Vezalius Bandage,#C34196,195,65,150,
Claude Clawmark,#7D3CAF,125,60,175,
Victoria Brightshield,#D7D2EB,215,210,235,
Kunai Nakasato,#3C6E64,60,110,100,
Ryoma Barrenwort,#952D22,149,45,34,
Twisty Amanozako,#78ECD5,120,236,213,
Klara Charmwood,#DFCDBF,223,205,191,
