# 事務所     ,参照url                                                                           ,メモ
のりプロ     ,https://vtuberinfo.net/noripro-membercolor/                                       ,
ホロライブ   ,https://vtuberinfo.net/hololive-membercolor/                                      ,
ななしいんく ,https://vtuberinfo.net/774inc-membercolor/                                        ,
にじさんじ   ,https://wikiwiki.jp/nijisanji/カラーコードまとめ                                  ,
ネオポルテ   ,https://wikiwiki.jp/neo-porte/データ一覧/カラーコード                             ,
どっとライブ ,https://seesaawiki.jp/siroyoutuber/d/%c1%e1%b8%ab%c9%bd#content_10                ,
元もちぷろ   ,https://seesaawiki.jp/mochi8hiyoko/d/%c1%e1%b8%ab%c9%bd                           ,
ホロスターズ ,https://seesaawiki.jp/holostarstv/d/%c1%e1%b8%ab%c9%bd ,公式サイト側を使用
VEE          ,https://vee.memo.wiki/d/アイコンテンプレート・カラーコードまとめ                  ,
ぶいすぽっ!  ,https://gear.vspo.jp/                                                             ,書いてあった/公式サイトのソース内にも発見
あおぎり高校 ,https://aogirihighschool.com/members                                              ,背景色を抽出(上)
VOMS         ,https://voms.net/monsters/                                                        ,背景色を抽出/ページソースから抽出
